dispnum,styear,endyear,fatality,fatalpre,hostlev,recip,numa,numb,ongo2014,meandur,acountries,bcountries
3572,1992,1992,0,0,4,0,1,1,0,1.0,[750],[910]
3573,1992,1992,0,0,4,0,1,1,0,37.0,[820],[830]
3574,1992,1992,-9,-9,4,1,1,1,0,329.0,[775],[800]
3599,1919,1919,-9,-9,4,1,1,1,0,39.0,[345],[305]
3602,1977,1977,0,0,4,0,1,1,0,3.0,[490],[551]
3603,1977,1977,0,0,4,0,1,1,0,1.0,[816],[800]
3604,1978,1978,-9,-9,4,1,1,1,0,1.0,[651],[352]
3606,1978,1978,0,0,3,0,1,1,0,106.0,[365],[385]
3607,1979,1979,0,0,4,0,1,1,0,13.0,[600],[230]
3610,1980,1980,0,0,3,1,1,1,0,1.0,[850],[816]
3612,1982,1982,0,0,4,0,1,1,0,1.0,[840],[740]
3613,1982,1982,0,0,3,0,2,1,0,5.0,[  2 698],[680]
3614,1983,1983,2,-9,4,1,1,1,0,15.0,[816],[710]
3615,1983,1983,0,0,4,1,1,1,0,10.0,[365],[380]
3616,1983,1984,0,0,3,0,1,2,0,183.0,[820],[710 816]
3617,1984,1984,0,0,4,1,1,6,0,76.0,[630],[694 670 690 692 698 696]
3618,1985,1985,-9,-9,4,1,1,1,0,183.0,[775],[800]
3620,1985,1985,0,0,3,1,1,2,0,97.0,[620],[651   2]
3621,1985,1985,0,0,4,0,1,1,0,1.0,[820],[840]
3622,1985,1986,-9,-9,4,1,1,1,0,394.0,[710],[816]
3625,1985,1986,0,0,3,1,1,4,0,121.0,[630],[200 670   2 690]
3626,1986,1986,1,-9,4,1,1,1,0,55.0,[750],[771]
3628,1986,1987,6,-9,5,1,1,1,0,151.0,[710],[816]
3629,1986,1986,-9,-9,4,1,1,1,0,24.0,[432],[439]
3630,1982,1982,6,-9,5,1,1,1,0,106.0,[160],[200]
3631,1977,1980,-9,-9,4,1,1,2,0,1265.0,[620],[483 220]
3632,1980,1980,0,0,3,0,1,1,0,1.0,[616],[620]
3633,1980,1981,0,0,3,1,2,1,0,338.0,[220 483],[620]
3634,1983,1984,-9,-9,4,1,1,4,0,664.0,[620],[220   2 483 490]
3635,1986,1987,-9,-9,4,1,1,2,0,579.0,[620],[483 220]
3636,1986,1986,-9,-9,4,1,1,1,0,93.0,[620],[2]
3637,1986,1986,0,0,3,0,1,1,0,1.0,[365],[2]
3638,1987,1987,1,-9,4,1,1,1,0,1.0,[816],[710]
3639,1984,1984,-9,-9,4,1,1,1,0,181.0,[816],[710]
3642,1870,1871,0,0,4,1,1,1,0,335.0,[365],[710]
3645,1903,1904,0,0,4,0,1,1,0,377.0,[365],[710]
3646,1910,1911,0,0,3,0,1,1,0,335.5,[365],[710]
3655,1933,1934,0,0,4,0,1,1,0,32.0,[365],[710]
3656,1937,1938,0,0,4,0,1,1,0,123.5,[365],[710]
3659,1971,1971,0,0,3,0,1,1,0,1.0,[365],[666]
3699,1940,1940,0,0,2,0,1,1,0,1.0,[640],[355]
3700,1939,1939,0,0,4,0,1,1,0,30.0,[200],[210]
3701,1939,1940,1,-9,5,1,1,1,0,188.0,[255],[210]
3703,1939,1940,0,0,4,1,1,1,0,194.0,[255],[212]
3704,1940,1940,0,0,3,0,1,1,0,39.0,[200],[385]
3705,1939,1940,0,0,5,1,1,1,0,158.0,[255],[385]
3706,1940,1940,2,-9,4,1,1,1,0,44.0,[255],[390]
3707,1940,1940,0,0,4,0,1,1,0,71.0,[200],[390]
3708,1939,1939,0,0,4,0,1,1,0,1.0,[255],[2]
3709,1939,1940,0,0,4,0,1,1,0,326.0,[200],[2]
3713,1940,1940,0,0,4,0,1,1,0,1.0,[255],[235]
3714,1945,1945,0,0,4,0,1,2,0,1.0,[101],[740 255]
3715,1945,1945,0,0,4,0,1,2,0,182.0,[150],[740 255]
3716,1943,1943,0,0,2,0,2,1,0,2.0,[  2 200],[325]
3717,1943,1943,-9,-9,5,1,1,1,0,40.0,[255],[325]
3718,1940,1940,1,-9,4,0,1,1,0,7.0,[230],[220]
3719,1939,1940,0,0,4,1,1,1,0,60.0,[255],[375]
3720,1940,1940,0,0,4,0,1,1,0,1.0,[325],[380]
3721,1942,1942,0,0,4,0,1,1,0,1.0,[325],[380]
3722,1943,1943,0,0,4,0,1,1,0,1.0,[365],[380]
3723,1939,1940,0,0,4,0,1,1,0,119.0,[367],[255]
3724,1939,1940,0,0,5,1,1,1,0,205.0,[200],[325]
3725,1882,1882,6,-9,5,1,2,1,0,75.0,[200 220],[651]
3800,1940,1940,0,0,4,0,1,1,0,20.0,[200],[225]
3801,1940,1940,0,0,4,1,1,1,0,201.0,[255],[380]
3802,1940,1940,0,0,3,0,1,1,0,169.0,[200],[380]
3804,1939,1940,0,0,4,0,1,1,0,405.0,[255],[380]
3805,1941,1941,0,0,4,0,1,1,0,1.0,[255],[380]
3806,1942,1944,0,0,4,1,1,1,0,812.0,[255],[380]
3807,1940,1940,0,0,4,0,1,1,0,1.0,[200],[360]
3809,1939,1939,0,0,4,0,1,1,0,1.0,[255],[366]
3810,1940,1940,0,0,4,0,1,1,0,1.0,[230],[220]
3812,1940,1940,0,0,4,0,1,1,0,3.0,[200],[345]
3813,1940,1941,-9,-9,5,1,3,1,0,399.0,[255 310 355],[345]
3814,1940,1940,-9,-9,4,1,1,1,0,68.0,[325],[345]
3820,1940,1940,0,0,5,0,1,1,0,57.0,[325],[220]
3821,1940,1941,0,0,4,0,1,1,0,232.0,[365],[360]
3822,1940,1941,-9,-9,5,1,1,1,0,301.0,[255],[365]
3823,1940,1940,0,0,3,0,1,1,0,15.5,[310],[360]
3824,1940,1940,0,0,4,0,1,1,0,1.0,[200],[325]
3825,1940,1941,0,0,4,0,1,1,0,299.0,[255],[360]
3826,1944,1944,-9,-9,5,1,1,2,0,17.0,[360],[310 255]
3827,1944,1944,-9,-9,5,1,1,1,0,12.0,[255],[355]
3833,1939,1939,0,0,3,0,2,2,0,1.0,[160 165],[200 255]
3834,1939,1940,-9,-9,4,1,1,2,0,61.0,[255],[165 160]
3835,1940,1940,0,0,4,0,1,1,0,1.0,[255],[160]
3836,1940,1940,0,0,4,1,1,1,0,99.0,[230],[200]
3837,1940,1940,0,0,4,0,1,1,0,1.0,[325],[230]
3850,1940,1941,0,0,4,1,2,1,0,399.0,[355 255],[640]
3851,1940,1940,0,0,4,1,1,1,0,29.0,[325],[640]
3852,1940,1940,0,0,4,0,1,1,0,1.0,[325],[630]
3853,1940,1940,-9,-9,4,1,1,1,0,128.0,[325],[651]
3854,1940,1940,0,0,4,0,1,1,0,1.0,[325],[95]
3855,1940,1940,0,0,4,0,1,1,0,167.0,[255],[95]
3856,1940,1940,0,0,3,0,1,1,0,1.0,[355],[350]
3858,1940,1940,0,0,3,1,2,1,0,1.0,[255],[355]
3860,1940,1940,0,0,4,0,1,1,0,80.0,[200],[365]
3861,1940,1940,0,0,3,0,1,1,0,37.0,[255],[310]
3862,1940,1940,0,0,4,0,1,1,0,1.0,[255],[310]
3863,1940,1940,0,0,4,0,1,1,0,71.0,[255],[205]
3864,1940,1940,0,0,4,0,1,1,0,14.0,[200],[140]
3867,1941,1941,0,0,4,0,1,1,0,1.0,[200],[350]
3868,1941,1941,0,0,2,0,1,1,0,16.0,[255],[355]
3869,1941,1941,0,0,3,0,1,1,0,19.0,[365],[355]
3870,1941,1941,0,0,3,0,1,1,0,1.0,[360],[310]
3871,1941,1941,0,0,2,0,1,1,0,1.0,[200],[355]
3872,1941,1941,0,0,2,0,1,1,0,1.0,[360],[365]
3873,1941,1941,0,0,4,0,1,1,0,1.0,[255],[651]
3875,1942,1942,0,0,4,0,1,1,0,1.0,[255],[155]
3876,1942,1942,0,0,4,0,1,1,0,144.0,[255],[165]
3878,1942,1942,0,0,4,0,1,1,0,1.0,[360],[41]
3881,1942,1942,0,0,4,0,1,1,0,303.0,[255],[95]
3882,1942,1942,0,0,4,0,1,1,0,2.0,[255],[91]
3883,1942,1942,0,0,4,0,1,1,0,1.0,[255],[101]
3884,1943,1943,0,0,2,0,1,1,0,1.0,[255],[230]
3885,1943,1943,0,0,4,0,1,1,0,1.0,[255],[651]
3887,1943,1943,0,0,4,0,1,1,0,1.0,[255],[95]
3900,1989,1989,0,0,4,0,1,1,0,1.0,[20],[2]
3901,1989,1989,3,-9,4,1,1,1,0,345.0,[95],[2]
3904,1989,1989,1,-9,4,1,1,1,0,7.0,[92],[91]
3905,1989,1989,1,-9,4,1,1,1,0,175.0,[91],[93]
3906,1989,1989,0,0,4,0,1,1,0,5.0,[220],[581]
3907,1989,1990,0,0,3,0,1,1,0,75.0,[220],[660]
3908,1989,1989,0,0,4,0,1,1,0,1.0,[652],[338]
3909,1989,1989,0,0,3,1,1,1,0,1.0,[640],[350]
3910,1989,1989,0,0,4,1,1,1,0,18.0,[435],[433]
3911,1989,1989,2,-9,4,1,1,1,0,1.0,[500],[501]
3912,1989,1990,1,-9,4,1,1,1,0,81.0,[625],[500]
3913,1989,1989,0,0,4,1,1,1,0,1.0,[520],[501]
3914,1989,1989,1,-9,4,1,1,1,0,25.0,[645],[630]
3915,1989,1989,0,0,4,0,1,1,0,1.0,[651],[666]
3916,1989,1989,0,0,4,1,1,1,0,56.0,[770],[700]
3917,1989,1989,0,0,4,0,1,1,0,1.0,[731],[732]
3918,1989,1989,0,0,4,1,1,1,0,1.0,[750],[780]
3919,1989,1989,0,0,4,0,1,1,0,1.0,[775],[800]
3920,1989,1989,0,0,4,0,1,1,0,181.0,[816],[800]
3921,1989,1989,0,0,4,1,1,1,0,1.0,[630],[645]
3922,1989,1989,0,0,4,0,1,1,0,1.0,[652],[640]
3950,1990,1990,0,0,4,1,1,1,0,106.0,[2],[40]
3951,1990,1990,0,0,4,0,1,1,0,1.0,[220],[731]
3952,1990,1990,1,-9,4,1,1,1,0,40.0,[433],[404]
3953,1989,1990,2,-9,4,1,1,1,0,153.0,[433],[435]
3954,1990,1990,0,0,2,0,1,1,0,1.0,[450],[437]
3955,1990,1990,0,0,4,0,1,1,0,1.0,[490],[551]
3956,1990,1991,0,0,4,1,1,1,0,333.0,[645],[666]
3957,1990,1991,6,-9,5,1,2,27,0,280.0,[645 663],"[696 698 692 900 436  20 230 652 600 640 220 325 211 690 210   2 160 255
 350 670 770 771 433 651 694 200 451]"
3958,1990,1991,1,-9,4,1,1,1,0,304.0,[666],[663]
3959,1990,1990,1,-9,4,1,1,1,0,315.0,[750],[770]
3960,1990,1990,1,-9,4,1,1,1,0,14.0,[775],[800]
3961,1990,1990,0,0,4,0,1,1,0,127.0,[850],[910]
3970,1991,1991,0,0,3,0,1,1,0,17.5,[651],[625]
3971,1991,1991,0,0,2,0,1,1,0,1.0,[645],[740]
3972,1991,1991,0,0,4,0,1,1,0,1.0,[2],[20]
3973,1991,1991,0,0,4,1,1,1,0,1.0,[630],[2]
3974,1991,1991,-9,-9,4,1,3,1,0,292.0,[220   2 200],[645]
3975,1991,1991,0,0,3,0,2,1,0,10.0,[211 220],[490]
3976,1991,1991,0,0,3,1,1,1,0,37.0,[345],[305]
3977,1991,1991,0,0,3,1,1,1,0,29.0,[345],[310]
3978,1991,1991,0,0,4,0,1,1,0,16.5,[451],[450]
3979,1991,1991,-9,-9,4,1,1,1,0,336.0,[500],[517]
3980,1991,1991,0,0,4,0,1,1,0,84.0,[640],[645]
3981,1991,1991,0,0,3,0,1,1,0,1.0,[666],[645]
3982,1991,1991,0,0,4,1,1,1,0,23.0,[645],[690]
3983,1991,1991,0,0,3,0,1,1,0,23.0,[713],[710]
3984,1991,1991,0,0,3,0,1,1,0,55.0,[732],[731]
3985,1991,1991,-9,-9,4,1,1,1,0,125.0,[750],[770]
3986,1991,1991,1,-9,4,1,1,1,0,1.0,[775],[771]
3987,1991,1991,0,0,3,1,1,1,0,8.0,[135],[130]
3988,1991,1991,0,0,4,1,1,1,0,1.0,[91],[93]
3994,1977,1978,-9,-9,4,0,1,1,0,271.5,[666],[660]
4001,1994,1996,1,-9,4,1,1,1,0,997.0,[800],[811]
4002,1995,1995,0,0,4,1,1,1,0,22.0,[800],[775]
4003,1996,1996,0,0,3,1,1,1,0,6.0,[775],[800]
4004,1996,1996,0,0,4,1,1,1,0,7.0,[816],[811]
4005,1996,1996,0,0,4,1,1,1,0,1.0,[771],[750]
4006,1996,1996,0,0,3,0,1,1,0,3.0,[750],[771]
4007,1993,1999,6,-9,5,1,1,1,0,2130.0,[770],[750]
4008,1995,1995,1,2,4,1,1,1,0,1.0,[816],[800]
4009,1995,1995,0,0,4,0,1,1,0,16.0,[101],[100]
4010,1993,1993,0,0,3,0,1,1,0,26.0,[91],[92]
4011,1995,1995,0,0,4,1,1,1,0,67.0,[93],[91]
4012,1995,1995,0,0,2,0,1,1,0,1.0,[91],[93]
4013,1995,1995,4,-9,4,1,1,1,0,121.0,[130],[135]
4014,1993,1993,0,0,3,1,1,1,0,2.0,[80],[90]
4015,1995,1995,0,0,3,1,1,1,0,30.0,[80],[90]
4016,1993,1994,0,0,4,1,7,1,0,347.0,[  2  42  20 200 220 210 160],[41]
4018,1993,1993,1,-9,4,1,1,1,0,90.5,[731],[710]
4019,1995,1995,0,0,4,0,1,1,0,15.5,[731],[710]
4020,1995,1995,0,0,4,0,1,1,0,250.0,[713],[710]
4021,1993,1993,0,0,3,1,2,1,0,22.0,[  2 732],[731]
4022,1993,1999,2,-9,4,1,1,5,0,2129.0,[731],[732 900   2 740  20]
4023,1993,1993,0,0,3,0,1,1,0,16.0,[710],[713]
4024,1994,1994,0,0,3,0,1,1,0,13.0,[713],[840]
4026,1996,1996,0,0,3,0,1,1,0,3.0,[740],[713]
4027,1995,1995,0,0,4,1,1,1,0,118.0,[710],[840]
4028,1996,1997,0,0,4,1,1,1,0,282.0,[840],[710]
4029,1993,1993,0,0,3,0,1,1,0,16.0,[710],[816]
4030,1994,1994,0,0,4,1,1,1,0,93.0,[710],[816]
4031,1995,1995,0,0,4,1,1,1,0,41.0,[20],[230]
4032,1993,1993,0,0,2,1,1,1,0,1.0,[490],[211]
4035,1994,1994,0,0,3,0,1,1,0,152.5,[710],[713]
4038,1993,1993,1,1,4,1,1,1,0,80.0,[640],[352]
4039,1993,1993,0,0,4,0,1,1,0,1.0,[352],[640]
4040,1994,1995,0,0,4,1,1,1,0,366.0,[640],[350]
4041,1994,1994,1,2,4,1,1,1,0,152.0,[350],[339]
4042,1993,1995,0,0,4,1,1,1,0,659.5,[365],[740]
4043,1993,1994,1,2,4,1,1,1,0,410.0,[339],[345]
4045,1995,1995,0,0,3,0,1,1,0,6.0,[345],[339]
4046,1994,1994,0,0,3,0,1,2,0,52.0,[345],[343   2]
4048,1993,1993,0,0,3,0,1,1,0,3.5,[220],[344]
4050,1994,1994,0,0,4,1,1,1,0,4.0,[365],[369]
4051,1993,1993,0,0,3,0,1,1,0,1.0,[365],[359]
4052,1993,1993,0,0,4,1,1,1,0,4.0,[710],[365]
4054,1993,1994,2,-9,4,1,6,1,0,356.0,[704 701 702 365 705 703],[700]
4055,1994,1995,0,0,4,0,1,1,0,137.0,[365],[700]
4058,1993,1993,1,1,4,1,1,1,0,1.0,[339],[343]
4060,1995,1995,0,0,3,0,1,1,0,1.0,[713],[816]
4061,1995,1995,0,0,3,1,1,1,0,1.0,[710],[740]
4062,1996,1996,0,0,3,0,1,1,0,16.0,[710],[740]
4063,1996,1996,0,0,3,1,1,1,0,15.0,[850],[710]
4064,1995,1996,0,0,3,1,1,2,0,257.0,[710],[713   2]
4065,1994,1994,0,0,3,0,1,2,0,55.0,[710],[732   2]
4066,1993,1993,0,0,3,0,1,1,0,4.0,[452],[461]
4067,1993,1993,1,1,4,1,1,1,0,1.0,[483],[436]
4068,1995,1995,0,0,4,0,1,1,0,3.5,[475],[483]
4069,1993,1993,0,0,4,0,1,1,0,8.0,[490],[484]
4071,1994,1994,0,0,3,0,1,1,0,24.5,[490],[540]
4072,1993,1993,0,0,4,1,1,1,0,135.0,[630],[645]
4073,1993,1993,0,0,2,0,1,1,0,1.0,[651],[630]
4075,1993,1993,-9,-9,4,1,1,1,0,42.5,[910],[940]
4076,1996,1996,0,0,4,1,1,1,0,182.0,[910],[940]
4078,1994,1997,-9,-9,4,1,1,1,0,984.0,[500],[625]
4079,1994,1996,2,-9,4,1,1,1,0,749.0,[530],[625]
4081,1994,1994,0,0,3,0,1,1,0,31.5,[625],[531]
4082,1995,1996,0,0,4,0,1,1,0,122.5,[531],[522]
4083,1995,1995,0,0,3,1,1,1,0,16.0,[501],[500]
4084,1995,1995,0,0,3,0,1,1,0,15.5,[501],[500]
4085,1993,1993,-9,-9,4,0,1,1,0,1.0,[475],[437]
4086,1996,1996,0,0,4,0,1,1,0,1.0,[705],[355]
4088,1999,2000,0,0,3,1,1,2,0,427.0,[710],[713   2]
4089,1997,1997,-9,-9,4,1,1,1,0,1.0,[731],[710]
4090,1997,1997,0,0,4,0,1,1,0,1.0,[350],[339]
4092,1995,1996,1,-9,4,1,1,1,0,195.0,[640],[350]
4094,1994,1995,0,0,3,0,1,1,0,405.0,[640],[352]
4095,1996,2001,1,3,4,1,1,2,0,1874.0,[640],[350 350 352 350]
4096,1997,1997,0,0,4,0,1,1,0,121.0,[365],[372]
4097,1997,1997,0,0,4,1,1,1,0,1.0,[339],[343]
4098,1996,1996,0,0,3,0,1,1,0,1.0,[365],[369]
4100,1995,1995,0,0,3,0,1,1,0,164.0,[345],[344]
4101,1995,1996,0,0,3,0,1,1,0,185.0,[310],[344]
4102,1995,1996,0,0,3,0,1,1,0,185.0,[310],[345]
4103,1994,1994,0,0,3,0,1,1,0,4.0,[365],[367]
4104,1994,1994,0,0,4,0,1,1,0,15.5,[710],[365]
4105,1995,1995,0,0,3,0,1,1,0,1.0,[365],[368]
4106,1993,1993,0,0,3,0,1,1,0,1.0,[365],[290]
4107,1997,1997,0,0,4,0,1,1,0,24.0,[365],[290]
4108,1997,1997,0,0,3,0,1,1,0,1.0,[369],[360]
4109,1996,1996,0,0,3,0,1,1,0,9.0,[373],[372]
4111,1998,1999,0,0,3,0,1,1,0,185.0,[365],[367]
4113,1994,1994,0,0,4,0,1,1,0,1.0,[630],[645]
4114,1994,1995,1,-9,4,1,1,1,0,97.0,[670],[679]
4116,1994,1994,0,0,3,0,1,1,0,13.5,[461],[452]
4117,1997,1998,0,0,3,1,1,1,0,181.0,[571],[565]
4118,1995,1995,0,0,3,0,1,1,0,142.0,[510],[516]
4119,1994,1994,1,-9,4,1,1,1,0,329.0,[471],[475]
4121,1995,1996,-9,-9,4,1,1,1,0,277.0,[531],[679]
4122,1996,1997,4,-9,4,1,1,1,0,238.0,[490],[517]
4123,1997,1997,-9,-9,4,1,1,1,0,50.5,[516],[510]
4124,1996,1999,-9,-9,4,1,1,1,0,910.0,[531],[625]
4125,1999,1999,0,0,3,1,1,2,0,33.0,[  2 732],[731]
4126,1996,1996,0,0,3,1,1,1,0,3.0,[732],[740]
4127,1999,1999,0,0,4,0,1,1,0,5.0,[740],[732]
4128,1998,2000,0,0,4,1,1,1,0,549.0,[840],[710]
4130,1997,1997,-9,-9,4,1,1,1,0,16.0,[530],[625]
4132,1997,1997,0,0,4,0,1,1,0,62.0,[531],[679]
4133,1999,1999,0,0,3,1,1,1,0,56.0,[640],[350]
4134,1995,1995,1,2,4,1,1,1,0,21.0,[651],[625]
4135,1997,1998,1,-9,4,1,1,1,0,261.0,[800],[811]
4136,1997,1997,0,0,3,0,1,1,0,195.0,[345],[339]
4137,1998,1999,5,-9,4,1,23,1,0,481.5,"[368 200 395 390  20 325 316 365 290 385 640 339 220 310 343 210 230   2
 212 350 211 255 343 235]",[345]
4138,1999,1999,1,3,4,1,1,1,0,1.0,[775],[800]
4140,1999,2000,0,0,4,1,1,1,0,229.0,[93],[91]
4141,2000,2000,0,0,4,1,1,1,0,7.0,[91],[93]
4143,1995,1996,0,0,4,1,1,1,0,301.0,[135],[130]
4144,1997,1997,0,0,4,1,1,1,0,160.0,[130],[135]
4145,1994,1994,0,0,4,0,1,1,0,15.5,[93],[100]
4146,1995,1995,0,0,4,1,1,1,0,4.0,[94],[93]
4147,1998,1998,0,0,3,1,1,1,0,32.0,[93],[94]
4148,1996,1996,0,0,4,0,1,1,0,13.5,[200],[155]
4149,1996,1996,0,0,4,0,1,1,0,1.0,[101],[52]
4150,1997,1997,0,0,3,1,1,1,0,13.5,[80],[90]
4151,2000,2000,0,0,4,1,1,1,0,52.5,[90],[80]
4152,2000,2001,0,0,3,0,1,1,0,137.0,[80],[90]
4154,1997,1997,0,0,4,0,1,1,0,43.5,[101],[52]
4155,1999,1999,0,0,4,0,1,1,0,12.5,[101],[52]
4156,2000,2000,0,0,3,1,1,1,0,60.5,[115],[110]
4158,1995,1995,0,0,4,0,1,1,0,113.0,[640],[645]
4159,1995,1995,0,0,3,0,1,1,0,1.0,[630],[700]
4160,1998,1998,-9,-9,4,1,1,1,0,100.5,[700],[630]
4161,1999,1999,-9,-9,4,0,1,1,0,1.0,[630],[700]
4162,1994,1994,0,0,3,1,1,1,0,8.0,[560],[570]
4164,1994,1994,0,0,3,0,1,1,0,107.0,[620],[483]
4165,1995,1995,-9,-9,4,1,1,1,0,2.0,[471],[475]
4166,1996,1997,2,-9,4,1,1,1,0,457.0,[471],[475]
4168,1995,1995,1,11,4,1,1,1,0,1.0,[540],[484]
4169,1994,1994,0,0,3,0,1,1,0,1.0,[572],[541]
4170,1996,1996,0,0,4,1,1,1,0,24.0,[490],[500]
4171,1997,1997,0,0,4,1,1,1,0,220.0,[93],[91]
4172,1997,1997,0,0,4,0,1,1,0,1.0,[101],[100]
4173,1996,1996,0,0,4,0,1,1,0,1.0,[640],[365]
4174,1997,1997,0,0,4,0,1,1,0,185.0,[2],[365]
4175,1998,1999,2,-9,4,1,1,1,0,596.0,[371],[373]
4176,1997,1997,0,0,3,1,4,1,0,4.0,[702 704 703 365],[700]
4177,1999,1999,0,0,4,0,1,1,0,2.0,[704],[703]
4179,1999,1999,0,0,4,0,1,1,0,50.0,[704],[702]
4180,1999,1999,0,0,3,0,1,1,0,63.0,[710],[740]
4182,1993,2006,3,-9,4,1,1,2,0,4904.0,[666],[652 660 652 652 652 652]
4183,1997,1997,0,0,4,0,1,1,0,4.0,[20],[2]
4186,2000,2000,0,0,3,1,38,1,0,43.0,"[365 160 385 212 225 211 380 663 349 372 366 696 305 235 310 369 368 325
 373 200 290 255   2 355 600 205 210 640 220 317 230 350 316 395  20 390
 375 360]",[345]
4187,1998,1998,0,0,3,1,1,1,0,184.5,[522],[531]
4188,1999,1999,1,-9,4,1,1,1,0,1.0,[530],[501]
4189,1998,1998,0,0,4,1,1,1,0,29.0,[130],[135]
4190,1996,1996,0,0,3,1,1,2,0,15.5,[652],[640   2]
4191,1996,1996,0,0,4,0,1,1,0,1.0,[640],[630]
4192,1996,1997,0,0,4,1,1,1,0,174.0,[630],[645]
4193,1997,1998,0,0,4,1,1,1,0,293.0,[350],[640]
4196,1996,1996,0,0,4,0,1,1,0,1.0,[40],[2]
4197,2000,2000,0,0,3,0,1,2,0,21.0,[365],[20  2]
4200,1999,1999,0,0,4,0,1,1,0,1.0,[531],[679]
4201,1999,2001,1,-9,4,1,2,1,0,553.0,[365 704],[700]
4203,1997,1998,-9,-9,4,1,1,1,0,399.5,[670],[679]
4205,1997,1998,0,0,4,1,1,1,0,199.5,[630],[645]
4206,1996,1999,0,0,4,0,1,1,0,896.0,[640],[645]
4208,1999,1999,0,0,4,0,1,1,0,18.0,[640],[645]
4210,2000,2000,0,0,3,1,1,1,0,265.0,[350],[640]
4212,1999,2001,0,0,3,1,1,1,0,484.0,[365],[372]
4213,2000,2000,0,0,4,0,1,1,0,85.0,[2],[365]
4214,2000,2000,0,0,4,0,1,1,0,41.0,[411],[368]
4215,1999,1999,0,0,3,0,1,1,0,4.0,[690],[645]
4216,1997,1997,0,0,3,0,1,1,0,1.0,[2],[630]
4217,1998,1998,0,0,4,0,1,1,0,1.0,[2],[625]
4218,2000,2000,0,0,2,0,1,2,0,1.0,[731],[  2 732]
4219,1994,1994,0,0,4,0,1,1,0,3.0,[101],[100]
4220,2000,2000,0,0,3,1,1,1,0,24.0,[365],[2]
4221,2000,2000,1,1,4,1,1,2,0,88.0,[640],[365 371]
4222,2000,2000,0,0,4,0,1,1,0,1.0,[365],[740]
4223,1999,2000,2,-9,4,1,1,1,0,469.0,[750],[770]
4224,1993,1993,0,0,2,0,1,1,0,1.0,[640],[345]
4225,1999,1999,0,0,3,1,1,1,0,4.0,[731],[740]
4226,1997,1997,0,0,3,0,1,1,0,15.5,[731],[740]
4227,1998,1998,2,-9,4,0,1,1,0,1.0,[2],[700]
4228,1998,1998,0,0,3,0,3,1,0,11.0,[702 365 704],[700]
4229,2000,2001,0,0,3,0,1,1,0,185.0,[339],[345]
4230,1997,1997,0,0,3,0,1,1,0,3.0,[344],[345]
4231,1996,1996,0,0,4,0,1,1,0,70.0,[344],[346]
4232,2000,2000,0,0,4,0,1,1,0,25.0,[371],[373]
4235,2001,2001,0,0,4,0,1,1,0,1.0,[371],[373]
4236,2001,2001,0,0,2,0,1,1,0,1.0,[373],[371]
4237,1994,1994,0,0,3,0,1,1,0,1.0,[570],[560]
4238,2001,2001,0,0,3,0,1,1,0,6.0,[385],[365]
4239,2001,2001,0,0,3,1,1,1,0,57.0,[365],[740]
4240,2001,2001,0,0,3,0,1,1,0,17.5,[370],[368]
4242,2001,2005,0,0,4,1,1,1,0,1490.0,[365],[372]
4243,2000,2000,0,0,4,0,1,1,0,1.0,[986],[840]
4244,1997,1997,0,0,3,0,1,1,0,12.5,[540],[490]
4245,1997,1997,0,0,4,1,1,1,0,1.0,[490],[484]
4246,1997,1997,-9,-9,4,1,1,1,0,5.0,[540],[484]
4248,1998,1999,0,0,4,1,1,1,0,200.5,[625],[500]
4249,1997,1997,0,0,3,0,1,1,0,7.0,[501],[500]
4250,1998,1998,-9,-9,4,1,1,1,0,199.0,[471],[475]
4251,1997,1998,-9,-9,4,1,3,1,0,288.0,[438 452 475],[451]
4252,1999,1999,-9,-9,4,1,1,1,0,5.0,[500],[517]
4253,2000,2000,-9,-9,4,1,1,1,0,38.0,[500],[517]
4254,1998,1998,0,0,3,0,1,1,0,62.0,[2],[450]
4255,1998,1998,0,0,3,0,1,1,0,14.5,[475],[450]
4256,1999,1999,0,0,3,0,2,1,0,191.0,[475 451],[450]
4257,2000,2001,1,-9,4,1,1,1,0,314.0,[450],[438]
4258,1998,2000,6,-9,5,1,1,1,0,956.0,[531],[530]
4259,2001,2001,0,0,3,0,1,1,0,30.5,[91],[93]
4260,1999,1999,0,0,3,1,1,1,0,7.0,[101],[110]
4261,2000,2000,0,0,3,0,1,1,0,1.0,[2],[101]
4262,2000,2000,0,0,4,0,1,1,0,42.0,[101],[100]
4263,2001,2001,0,0,4,0,1,1,0,23.5,[100],[93]
4264,1999,1999,0,0,3,0,1,1,0,15.0,[900],[850]
4266,2001,2001,1,-9,4,1,1,1,0,1.0,[740],[731]
4269,1994,1995,0,0,3,1,7,1,0,434.0,[692   2 200 698 220 696 690],[645]
4271,1996,1996,-9,-9,4,1,3,1,0,67.0,[200 690   2],[645]
4272,1996,1997,-9,-9,4,1,1,1,0,345.0,[690],[645]
4273,1997,2003,6,-9,5,1,19,1,0,2034.0,"[290 663 690 651 220 666 694 210 210   2 696 692 670 640 200 696 666 698
 350 900 325 690 255 670]",[645]
4274,1999,1999,0,0,3,0,1,1,0,1.0,[645],[690]
4275,2000,2000,0,0,3,0,1,1,0,1.0,[690],[645]
4277,2001,2003,5,-9,4,1,1,1,0,700.0,[770],[750]
4278,2001,2001,0,0,3,0,1,1,0,1.0,[710],[900]
4279,2001,2001,0,0,3,0,1,1,0,16.0,[710],[840]
