dispnum,styear,endyear,fatality,fatalpre,hostlev,recip,numa,numb,ongo2014,meandur,acountries,bcountries
3031,1984,1984,0,0,4,1,1,1,0,61.0,[560],[571]
3033,1985,1985,0,0,4,0,1,1,0,1.0,[645],[732]
3034,1984,1984,0,0,4,0,1,1,0,1.0,[630],[230]
3035,1984,1984,0,0,4,0,1,1,0,1.0,[630],[750]
3036,1984,1984,0,0,4,0,1,1,0,1.0,[645],[385]
3037,1984,1985,0,0,4,1,1,1,0,40.0,[750],[780]
3038,1984,1984,0,0,4,0,1,1,0,1.0,[645],[31]
3040,1984,1984,0,0,4,0,1,1,0,7.0,[630],[260]
3041,1984,1984,0,0,4,0,1,1,0,1.0,[220],[620]
3042,1984,1984,0,0,4,0,1,1,0,107.0,[630],[200]
3043,1984,1985,0,0,4,0,1,1,0,288.0,[645],[352]
3044,1984,1984,1,-9,4,1,1,1,0,1.0,[600],[615]
3045,1984,1984,0,0,4,0,1,1,0,1.0,[645],[640]
3046,1984,1985,0,0,4,0,1,2,0,418.0,[645],[450 200]
3048,1984,1984,0,0,4,1,1,1,0,71.0,[630],[670]
3049,1984,1984,0,0,4,0,1,1,0,132.0,[645],[95]
3050,1984,1984,0,0,4,1,1,1,0,228.0,[850],[910]
3051,1984,1984,0,0,4,1,1,3,0,24.0,[620],[651   2 625]
3052,1984,1984,0,0,4,0,1,1,0,1.0,[645],[200]
3053,1984,1984,0,0,4,0,1,1,0,1.0,[645],[750]
3054,1983,1984,-9,-9,4,1,1,1,0,20.0,[670],[680]
3055,1983,1984,1,-9,4,1,1,1,0,185.0,[750],[771]
3056,1983,1983,0,0,3,1,1,1,0,3.0,[530],[625]
3057,1983,1985,0,0,4,0,1,1,0,453.0,[645],[350]
3058,1983,1983,3,-9,4,1,7,2,0,12.0,[54 53 56 57  2 58 51],[40 55]
3059,1983,1983,0,0,3,0,1,1,0,2.0,[630],[700]
3060,1983,1984,-9,-9,4,1,1,1,0,108.0,[551],[490]
3062,1983,1984,-9,-9,4,1,1,1,0,212.0,[652],[2]
3063,1983,1983,0,0,4,0,1,1,0,1.0,[365],[732]
3064,1983,1983,0,0,3,0,1,1,0,1.0,[160],[200]
3065,1983,1983,0,0,3,1,2,1,0,10.0,[  2 625],[620]
3066,1983,1983,4,-9,4,1,1,1,0,74.0,[483],[475]
3067,1983,1983,0,0,4,1,1,1,0,12.0,[365],[385]
3068,1983,1983,0,0,4,0,1,1,0,15.0,[140],[620]
3070,1983,1983,1,-9,4,1,1,1,0,189.0,[541],[560]
3071,1983,1983,0,0,4,1,1,1,0,151.0,[2],[630]
3072,1983,1983,0,0,3,1,1,3,0,5.0,[620],[  2 651 625]
3073,1982,1983,0,0,4,0,1,1,0,109.0,[560],[570]
3074,1982,1983,0,0,4,0,1,1,0,16.0,[775],[800]
3075,1983,1983,0,0,3,0,1,1,0,1.0,[800],[775]
3076,1982,1982,-9,-9,4,1,1,1,0,70.0,[452],[461]
3077,1982,1982,0,0,3,0,1,1,0,1.0,[200],[160]
3078,1982,1982,0,0,4,0,1,1,0,1.0,[645],[732]
3079,1982,1982,0,0,4,0,1,1,0,1.0,[645],[350]
3082,1982,1982,-9,-9,4,1,1,1,0,2.0,[812],[800]
3083,1982,1982,0,0,4,0,1,1,0,32.0,[850],[910]
3085,1982,1982,0,0,4,0,1,1,0,119.0,[101],[110]
